Aircraft_Type,Aircraft_Code_ICAO,Max_Volume,Max_Weight
Airbus A300-600,A306,158.4,23.5
Airbus A300-600RF,A306,426.0,47.0
Airbus A300-B2/B4,A30B,158.4,23.5
Airbus A300-B4F/C4F/F4F,A30B,390.0,43.5
Airbus A300-Unspecified,A306,158.4,23.5
Airbus A300F-Unspecified,A306,390.0,43.5
Airbus A310-300,A313,63.0,9.45
Airbus A310-300F,A313,265.0,39.0
Airbus A310-Unspecified,A313,63.0,9.45
Airbus A310F-Unspecified,A313,265.0,39.0
Airbus A330-200,A332,136.0,20.4
Airbus A330-200F,A332,475.0,70.0
Airbus A330-300,A333,162.8,24.4
Airbus A330-Unspecified,A333,162.8,24.4
Airbus A340-200,A342,162.8,24.4
Airbus A340-300,A343,162.8,24.4
Airbus A340-500,A345,153.9,23.02
Airbus A340-600,A346,207.6,31.14
Airbus A340-Unspecified,A343,162.8,24.4
Airbus A380-800,A388,50.0,8.0
Boeing B737-400F,B734,150.0,20.5
Boeing B747-200F,B742,704.6,111.0
Boeing B747-300,B743,175.0,26.3
Boeing B747-400,B744,160.1,24.02
Boeing B747-400F,B744,625.0,117.0
Boeing B747-400M,B744,300.0,45.0
Boeing B747-8,B748,176.0,26.4
Boeing B747-8F,B748,858.0,140.0
Boeing B747-SP,B74S,160.1,24.02
Boeing B747-Unspecified,B744,160.1,24.02
Boeing B747F-Unspecified,B744,858.0,140.0
Boeing 757-200F,B752,187.0,35.0
Boeing B767-200,B762,86.9,13.04
Boeing B767-200SF,B762,86.9,13.04
Boeing B767-300,B763,114.1,17.12
Boeing B767-300ER,B763,114.1,17.12
Boeing B767-300ERF,B763,438.0,58.0
Boeing B767-400ER,B764,138.9,20.84
Boeing B767-Unspecified,B763,114.1,17.12
Boeing B767F-Unspecified,B763,438.0,58.0
Boeing B777-200/200ER,B772,150.9,22.64
Boeing B777-200ER,B772,90.0,18.0
Boeing B777-200LR,B77L,90.0,15.0
Boeing B777-200LRF,B77L,550.0,103.0
Boeing B777-300,B773,125.0,23.0
Boeing B777-300ER,B77W,125.0,23.0
Boeing B777-Unspecified,B773,150.9,22.64
Boeing B787-8,B788,136.7,20.5
Boeing B787-9,B789,172.5,25.9
Boeing B787-Unspecified,B788,136.7,20.5
Boeing MD-11,MD11,157.6,23.64
Boeing MD-11F,MD11,607.9,91.19
Douglas MD10-Unspecified,MD10,130.17,19.53
Ilyushin II-96,IL96,166.67,25.0
